planSequence	executionPhase	qualification	examYear	sourceCategory	questionLabel	questionType	questionIntent	choiceCount	correctChoiceTextCount	explanationTextCount	sourceOrigin	isSiteSourced	firestoreQuestionIdCount	sourceQuestionKey	sourceConflictStatus	sourceContentConflictCount	sourceContentConflictFields	sourceUniqueKeys	reviewQuestionId	qualifiedReviewQuestionId	sourceFile
11	phase_1_kou_existing_firestore	gas-shunin-kou	2019	消費機器	問19	true_false	select_incorrect	5	5	5	firestore_snapshot	False	5	gas-shunin:kou:2019:shohi:q19	none	0	[]	"[""gas-shunin:kou:2019:shohi:q19:s01"", ""gas-shunin:kou:2019:shohi:q19:s02"", ""gas-shunin:kou:2019:shohi:q19:s03"", ""gas-shunin:kou:2019:shohi:q19:s04"", ""gas-shunin:kou:2019:shohi:q19:s05""]"	firestore:chiefgasengineerlicense-A-60-1577,chiefgasengineerlicense-A-60-1578,chiefgasengineerlicense-A-60-1579,chiefgasengineerlicense-A-60-1580,chiefgasengineerlicense-A-60-1581	gas-shunin-kou:firestore:chiefgasengineerlicense-A-60-1577,chiefgasengineerlicense-A-60-1578,chiefgasengineerlicense-A-60-1579,chiefgasengineerlicense-A-60-1580,chiefgasengineerlicense-A-60-1581	output/gas-shunin-kou/questions_json/2019/00_source/question_2019_firestore_1.json
12	phase_1_kou_existing_firestore	gas-shunin-kou	2019	製造	問2	true_false	select_incorrect	5	5	5	firestore_snapshot	False	5	gas-shunin:kou:2019:seizo:q02	none	0	[]	"[""gas-shunin:kou:2019:seizo:q02:s01"", ""gas-shunin:kou:2019:seizo:q02:s02"", ""gas-shunin:kou:2019:seizo:q02:s03"", ""gas-shunin:kou:2019:seizo:q02:s04"", ""gas-shunin:kou:2019:seizo:q02:s05""]"	firestore:chiefgasengineerlicense-A-40-1500,chiefgasengineerlicense-A-40-1501,chiefgasengineerlicense-A-40-1502,chiefgasengineerlicense-A-40-1503,chiefgasengineerlicense-A-40-1504	gas-shunin-kou:firestore:chiefgasengineerlicense-A-40-1500,chiefgasengineerlicense-A-40-1501,chiefgasengineerlicense-A-40-1502,chiefgasengineerlicense-A-40-1503,chiefgasengineerlicense-A-40-1504	output/gas-shunin-kou/questions_json/2019/00_source/question_2019_firestore_1.json
13	phase_1_kou_existing_firestore	gas-shunin-kou	2019	消費機器	問20	true_false	select_correct	5	5	5	firestore_snapshot	False	5	gas-shunin:kou:2019:shohi:q20	none	0	[]	"[""gas-shunin:kou:2019:shohi:q20:s01"", ""gas-shunin:kou:2019:shohi:q20:s02"", ""gas-shunin:kou:2019:shohi:q20:s03"", ""gas-shunin:kou:2019:shohi:q20:s04"", ""gas-shunin:kou:2019:shohi:q20:s05""]"	firestore:chiefgasengineerlicense-A-60-1582,chiefgasengineerlicense-A-60-1583,chiefgasengineerlicense-A-60-1584,chiefgasengineerlicense-A-60-1585,chiefgasengineerlicense-A-60-1586	gas-shunin-kou:firestore:chiefgasengineerlicense-A-60-1582,chiefgasengineerlicense-A-60-1583,chiefgasengineerlicense-A-60-1584,chiefgasengineerlicense-A-60-1585,chiefgasengineerlicense-A-60-1586	output/gas-shunin-kou/questions_json/2019/00_source/question_2019_firestore_1.json
14	phase_1_kou_existing_firestore	gas-shunin-kou	2019	消費機器	問21	true_false	select_correct	5	5	5	firestore_snapshot	False	5	gas-shunin:kou:2019:shohi:q21	none	0	[]	"[""gas-shunin:kou:2019:shohi:q21:s01"", ""gas-shunin:kou:2019:shohi:q21:s02"", ""gas-shunin:kou:2019:shohi:q21:s03"", ""gas-shunin:kou:2019:shohi:q21:s04"", ""gas-shunin:kou:2019:shohi:q21:s05""]"	firestore:chiefgasengineerlicense-A-60-1587,chiefgasengineerlicense-A-60-1588,chiefgasengineerlicense-A-60-1589,chiefgasengineerlicense-A-60-1590,chiefgasengineerlicense-A-60-1591	gas-shunin-kou:firestore:chiefgasengineerlicense-A-60-1587,chiefgasengineerlicense-A-60-1588,chiefgasengineerlicense-A-60-1589,chiefgasengineerlicense-A-60-1590,chiefgasengineerlicense-A-60-1591	output/gas-shunin-kou/questions_json/2019/00_source/question_2019_firestore_1.json
15	phase_1_kou_existing_firestore	gas-shunin-kou	2019	消費機器	問22	true_false	select_correct	5	5	5	firestore_snapshot	False	5	gas-shunin:kou:2019:shohi:q22	none	0	[]	"[""gas-shunin:kou:2019:shohi:q22:s01"", ""gas-shunin:kou:2019:shohi:q22:s02"", ""gas-shunin:kou:2019:shohi:q22:s03"", ""gas-shunin:kou:2019:shohi:q22:s04"", ""gas-shunin:kou:2019:shohi:q22:s05""]"	firestore:chiefgasengineerlicense-A-60-1592,chiefgasengineerlicense-A-60-1593,chiefgasengineerlicense-A-60-1594,chiefgasengineerlicense-A-60-1595,chiefgasengineerlicense-A-60-1596	gas-shunin-kou:firestore:chiefgasengineerlicense-A-60-1592,chiefgasengineerlicense-A-60-1593,chiefgasengineerlicense-A-60-1594,chiefgasengineerlicense-A-60-1595,chiefgasengineerlicense-A-60-1596	output/gas-shunin-kou/questions_json/2019/00_source/question_2019_firestore_1.json
16	phase_1_kou_existing_firestore	gas-shunin-kou	2019	消費機器	問23	true_false	select_correct	5	5	5	firestore_snapshot	False	5	gas-shunin:kou:2019:shohi:q23	none	0	[]	"[""gas-shunin:kou:2019:shohi:q23:s01"", ""gas-shunin:kou:2019:shohi:q23:s02"", ""gas-shunin:kou:2019:shohi:q23:s03"", ""gas-shunin:kou:2019:shohi:q23:s04"", ""gas-shunin:kou:2019:shohi:q23:s05""]"	firestore:chiefgasengineerlicense-A-60-1597,chiefgasengineerlicense-A-60-1598,chiefgasengineerlicense-A-60-1599,chiefgasengineerlicense-A-60-1600,chiefgasengineerlicense-A-60-1601	gas-shunin-kou:firestore:chiefgasengineerlicense-A-60-1597,chiefgasengineerlicense-A-60-1598,chiefgasengineerlicense-A-60-1599,chiefgasengineerlicense-A-60-1600,chiefgasengineerlicense-A-60-1601	output/gas-shunin-kou/questions_json/2019/00_source/question_2019_firestore_1.json
17	phase_1_kou_existing_firestore	gas-shunin-kou	2019	消費機器	問24	true_false	select_incorrect	5	5	5	firestore_snapshot	False	5	gas-shunin:kou:2019:shohi:q24	none	0	[]	"[""gas-shunin:kou:2019:shohi:q24:s01"", ""gas-shunin:kou:2019:shohi:q24:s02"", ""gas-shunin:kou:2019:shohi:q24:s03"", ""gas-shunin:kou:2019:shohi:q24:s04"", ""gas-shunin:kou:2019:shohi:q24:s05""]"	firestore:chiefgasengineerlicense-A-60-1602,chiefgasengineerlicense-A-60-1603,chiefgasengineerlicense-A-60-1604,chiefgasengineerlicense-A-60-1605,chiefgasengineerlicense-A-60-1606	gas-shunin-kou:firestore:chiefgasengineerlicense-A-60-1602,chiefgasengineerlicense-A-60-1603,chiefgasengineerlicense-A-60-1604,chiefgasengineerlicense-A-60-1605,chiefgasengineerlicense-A-60-1606	output/gas-shunin-kou/questions_json/2019/00_source/question_2019_firestore_1.json
18	phase_1_kou_existing_firestore	gas-shunin-kou	2019	消費機器	問25	true_false	select_correct	5	5	5	firestore_snapshot	False	5	gas-shunin:kou:2019:shohi:q25	none	0	[]	"[""gas-shunin:kou:2019:shohi:q25:s01"", ""gas-shunin:kou:2019:shohi:q25:s02"", ""gas-shunin:kou:2019:shohi:q25:s03"", ""gas-shunin:kou:2019:shohi:q25:s04"", ""gas-shunin:kou:2019:shohi:q25:s05""]"	firestore:chiefgasengineerlicense-A-60-1607,chiefgasengineerlicense-A-60-1608,chiefgasengineerlicense-A-60-1609,chiefgasengineerlicense-A-60-1610,chiefgasengineerlicense-A-60-1611	gas-shunin-kou:firestore:chiefgasengineerlicense-A-60-1607,chiefgasengineerlicense-A-60-1608,chiefgasengineerlicense-A-60-1609,chiefgasengineerlicense-A-60-1610,chiefgasengineerlicense-A-60-1611	output/gas-shunin-kou/questions_json/2019/00_source/question_2019_firestore_1.json
19	phase_1_kou_existing_firestore	gas-shunin-kou	2019	消費機器	問26	true_false	select_correct	5	5	5	firestore_snapshot	False	5	gas-shunin:kou:2019:shohi:q26	none	0	[]	"[""gas-shunin:kou:2019:shohi:q26:s01"", ""gas-shunin:kou:2019:shohi:q26:s02"", ""gas-shunin:kou:2019:shohi:q26:s03"", ""gas-shunin:kou:2019:shohi:q26:s04"", ""gas-shunin:kou:2019:shohi:q26:s05""]"	firestore:chiefgasengineerlicense-A-60-1612,chiefgasengineerlicense-A-60-1613,chiefgasengineerlicense-A-60-1614,chiefgasengineerlicense-A-60-1615,chiefgasengineerlicense-A-60-1616	gas-shunin-kou:firestore:chiefgasengineerlicense-A-60-1612,chiefgasengineerlicense-A-60-1613,chiefgasengineerlicense-A-60-1614,chiefgasengineerlicense-A-60-1615,chiefgasengineerlicense-A-60-1616	output/gas-shunin-kou/questions_json/2019/00_source/question_2019_firestore_1.json
20	phase_1_kou_existing_firestore	gas-shunin-kou	2019	消費機器	問27	true_false	select_incorrect	5	5	5	firestore_snapshot	False	5	gas-shunin:kou:2019:shohi:q27	none	0	[]	"[""gas-shunin:kou:2019:shohi:q27:s01"", ""gas-shunin:kou:2019:shohi:q27:s02"", ""gas-shunin:kou:2019:shohi:q27:s03"", ""gas-shunin:kou:2019:shohi:q27:s04"", ""gas-shunin:kou:2019:shohi:q27:s05""]"	firestore:chiefgasengineerlicense-A-60-1617,chiefgasengineerlicense-A-60-1618,chiefgasengineerlicense-A-60-1619,chiefgasengineerlicense-A-60-1620,chiefgasengineerlicense-A-60-1621	gas-shunin-kou:firestore:chiefgasengineerlicense-A-60-1617,chiefgasengineerlicense-A-60-1618,chiefgasengineerlicense-A-60-1619,chiefgasengineerlicense-A-60-1620,chiefgasengineerlicense-A-60-1621	output/gas-shunin-kou/questions_json/2019/00_source/question_2019_firestore_1.json
21	phase_1_kou_existing_firestore	gas-shunin-kou	2019	製造	問3	true_false	select_incorrect	5	5	5	firestore_snapshot	False	5	gas-shunin:kou:2019:seizo:q03	none	0	[]	"[""gas-shunin:kou:2019:seizo:q03:s01"", ""gas-shunin:kou:2019:seizo:q03:s02"", ""gas-shunin:kou:2019:seizo:q03:s03"", ""gas-shunin:kou:2019:seizo:q03:s04"", ""gas-shunin:kou:2019:seizo:q03:s05""]"	firestore:chiefgasengineerlicense-A-40-1505,chiefgasengineerlicense-A-40-1506,chiefgasengineerlicense-A-40-1507,chiefgasengineerlicense-A-40-1508,chiefgasengineerlicense-A-40-1509	gas-shunin-kou:firestore:chiefgasengineerlicense-A-40-1505,chiefgasengineerlicense-A-40-1506,chiefgasengineerlicense-A-40-1507,chiefgasengineerlicense-A-40-1508,chiefgasengineerlicense-A-40-1509	output/gas-shunin-kou/questions_json/2019/00_source/question_2019_firestore_1.json
22	phase_1_kou_existing_firestore	gas-shunin-kou	2019	製造	問4	true_false	select_incorrect	5	5	5	firestore_snapshot	False	5	gas-shunin:kou:2019:seizo:q04	none	0	[]	"[""gas-shunin:kou:2019:seizo:q04:s01"", ""gas-shunin:kou:2019:seizo:q04:s02"", ""gas-shunin:kou:2019:seizo:q04:s03"", ""gas-shunin:kou:2019:seizo:q04:s04"", ""gas-shunin:kou:2019:seizo:q04:s05""]"	firestore:chiefgasengineerlicense-A-40-1510,chiefgasengineerlicense-A-40-1511,chiefgasengineerlicense-A-40-1512,chiefgasengineerlicense-A-40-1513,chiefgasengineerlicense-A-40-1514	gas-shunin-kou:firestore:chiefgasengineerlicense-A-40-1510,chiefgasengineerlicense-A-40-1511,chiefgasengineerlicense-A-40-1512,chiefgasengineerlicense-A-40-1513,chiefgasengineerlicense-A-40-1514	output/gas-shunin-kou/questions_json/2019/00_source/question_2019_firestore_1.json
23	phase_1_kou_existing_firestore	gas-shunin-kou	2019	製造	問5	true_false	select_incorrect	5	5	5	firestore_snapshot	False	5	gas-shunin:kou:2019:seizo:q05	none	0	[]	"[""gas-shunin:kou:2019:seizo:q05:s01"", ""gas-shunin:kou:2019:seizo:q05:s02"", ""gas-shunin:kou:2019:seizo:q05:s03"", ""gas-shunin:kou:2019:seizo:q05:s04"", ""gas-shunin:kou:2019:seizo:q05:s05""]"	firestore:chiefgasengineerlicense-A-40-1515,chiefgasengineerlicense-A-40-1516,chiefgasengineerlicense-A-40-1517,chiefgasengineerlicense-A-40-1518,chiefgasengineerlicense-A-40-1519	gas-shunin-kou:firestore:chiefgasengineerlicense-A-40-1515,chiefgasengineerlicense-A-40-1516,chiefgasengineerlicense-A-40-1517,chiefgasengineerlicense-A-40-1518,chiefgasengineerlicense-A-40-1519	output/gas-shunin-kou/questions_json/2019/00_source/question_2019_firestore_1.json
24	phase_1_kou_existing_firestore	gas-shunin-kou	2019	製造	問6	true_false	select_incorrect	5	5	5	firestore_snapshot	False	5	gas-shunin:kou:2019:seizo:q06	none	0	[]	"[""gas-shunin:kou:2019:seizo:q06:s01"", ""gas-shunin:kou:2019:seizo:q06:s02"", ""gas-shunin:kou:2019:seizo:q06:s03"", ""gas-shunin:kou:2019:seizo:q06:s04"", ""gas-shunin:kou:2019:seizo:q06:s05""]"	firestore:chiefgasengineerlicense-A-40-1520,chiefgasengineerlicense-A-40-1521,chiefgasengineerlicense-A-40-1522,chiefgasengineerlicense-A-40-1523,chiefgasengineerlicense-A-40-1524	gas-shunin-kou:firestore:chiefgasengineerlicense-A-40-1520,chiefgasengineerlicense-A-40-1521,chiefgasengineerlicense-A-40-1522,chiefgasengineerlicense-A-40-1523,chiefgasengineerlicense-A-40-1524	output/gas-shunin-kou/questions_json/2019/00_source/question_2019_firestore_1.json
25	phase_1_kou_existing_firestore	gas-shunin-kou	2019	製造	問7	true_false	select_incorrect	5	5	5	firestore_snapshot	False	5	gas-shunin:kou:2019:seizo:q07	none	0	[]	"[""gas-shunin:kou:2019:seizo:q07:s01"", ""gas-shunin:kou:2019:seizo:q07:s02"", ""gas-shunin:kou:2019:seizo:q07:s03"", ""gas-shunin:kou:2019:seizo:q07:s04"", ""gas-shunin:kou:2019:seizo:q07:s05""]"	firestore:chiefgasengineerlicense-A-40-1525,chiefgasengineerlicense-A-40-1526,chiefgasengineerlicense-A-40-1527,chiefgasengineerlicense-A-40-1528,chiefgasengineerlicense-A-40-1529	gas-shunin-kou:firestore:chiefgasengineerlicense-A-40-1525,chiefgasengineerlicense-A-40-1526,chiefgasengineerlicense-A-40-1527,chiefgasengineerlicense-A-40-1528,chiefgasengineerlicense-A-40-1529	output/gas-shunin-kou/questions_json/2019/00_source/question_2019_firestore_1.json
26	phase_1_kou_existing_firestore	gas-shunin-kou	2019	製造	問8	true_false	select_incorrect	5	5	5	firestore_snapshot	False	5	gas-shunin:kou:2019:seizo:q08	none	0	[]	"[""gas-shunin:kou:2019:seizo:q08:s01"", ""gas-shunin:kou:2019:seizo:q08:s02"", ""gas-shunin:kou:2019:seizo:q08:s03"", ""gas-shunin:kou:2019:seizo:q08:s04"", ""gas-shunin:kou:2019:seizo:q08:s05""]"	firestore:chiefgasengineerlicense-A-40-1530,chiefgasengineerlicense-A-40-1531,chiefgasengineerlicense-A-40-1532,chiefgasengineerlicense-A-40-1533,chiefgasengineerlicense-A-40-1534	gas-shunin-kou:firestore:chiefgasengineerlicense-A-40-1530,chiefgasengineerlicense-A-40-1531,chiefgasengineerlicense-A-40-1532,chiefgasengineerlicense-A-40-1533,chiefgasengineerlicense-A-40-1534	output/gas-shunin-kou/questions_json/2019/00_source/question_2019_firestore_2.json
27	phase_1_kou_existing_firestore	gas-shunin-kou	2019	製造	問9	true_false	select_incorrect	5	5	5	firestore_snapshot	False	5	gas-shunin:kou:2019:seizo:q09	none	0	[]	"[""gas-shunin:kou:2019:seizo:q09:s01"", ""gas-shunin:kou:2019:seizo:q09:s02"", ""gas-shunin:kou:2019:seizo:q09:s03"", ""gas-shunin:kou:2019:seizo:q09:s04"", ""gas-shunin:kou:2019:seizo:q09:s05""]"	firestore:chiefgasengineerlicense-A-40-1535,chiefgasengineerlicense-A-40-1536,chiefgasengineerlicense-A-40-1537,chiefgasengineerlicense-A-40-1538,chiefgasengineerlicense-A-40-1539	gas-shunin-kou:firestore:chiefgasengineerlicense-A-40-1535,chiefgasengineerlicense-A-40-1536,chiefgasengineerlicense-A-40-1537,chiefgasengineerlicense-A-40-1538,chiefgasengineerlicense-A-40-1539	output/gas-shunin-kou/questions_json/2019/00_source/question_2019_firestore_2.json
28	phase_1_kou_existing_firestore	gas-shunin-kou	2019	法令	問1	true_false	select_correct	5	5	5	firestore_snapshot	False	5	gas-shunin:kou:2019:law:q01	none	0	[]	"[""gas-shunin:kou:2019:law:q01:s01"", ""gas-shunin:kou:2019:law:q01:s02"", ""gas-shunin:kou:2019:law:q01:s03"", ""gas-shunin:kou:2019:law:q01:s04"", ""gas-shunin:kou:2019:law:q01:s05""]"	firestore:chiefgasengineerlicense-A-10-0001,chiefgasengineerlicense-A-10-0002,chiefgasengineerlicense-A-10-0003,chiefgasengineerlicense-A-10-0004,chiefgasengineerlicense-A-10-0005	gas-shunin-kou:firestore:chiefgasengineerlicense-A-10-0001,chiefgasengineerlicense-A-10-0002,chiefgasengineerlicense-A-10-0003,chiefgasengineerlicense-A-10-0004,chiefgasengineerlicense-A-10-0005	output/gas-shunin-kou/questions_json/2019/00_source/question_2019_firestore_2.json
